codigo_provincia,provincia,codigo_canton,canton,poblacion,hombres,mujeres,viviendas,viviendas_ocupadas,viviendas_desocupadas,promedio_ocupantes,area_km2,densidad,tasa_crecimiento_poblacion,tasa_crecimiento_viviendas,relacion_hombre_mujer
1,San José,101,San José,352381,168817,183564,116872,111228,5644,3.16,44.62,7897.4,1.83,2.68,92.0
1,San José,102,Escazú,71500,33923,37577,26392,24379,2013,2.92,34.53,2070.7,2.14,3.14,90.3
1,San José,103,Desamparados,223226,106209,117017,74568,70380,4188,3.16,118.89,1877.6,0.62,1.96,90.8
1,San José,104,Puriscal,38525,18685,19840,14902,13438,1464,2.87,555.04,69.4,1.41,2.76,94.2
1,San José,105,Tarrazú,17810,9323,8487,7331,5778,1553,3.07,291.27,61.1,0.82,2.22,109.9
1,San José,106,Aserrí,59588,29565,30023,20941,18964,1977,3.14,168.26,354.1,0.26,1.75,98.5
1,San José,107,Mora,32348,15732,16616,12326,10848,1478,2.98,163.48,197.9,1.88,3.22,94.7
1,San José,108,Goicoechea,132104,62090,70014,43361,41266,2095,3.19,31.7,4167.3,1.25,2.08,88.7
1,San José,109,Santa Ana,58020,29503,28517,21206,19548,1658,2.95,61.42,944.6,1.51,2.67,103.5
1,San José,110,Alajuelita,81012,38976,42036,25008,22687,2321,3.57,21.47,3773.3,0.39,1.75,92.7
1,San José,111,Vásquez de Coronado,67078,32502,34576,22610,21503,1107,3.11,223.93,299.5,0.94,1.99,94.0
1,San José,112,Acosta,22542,10775,11767,9138,7845,1293,2.87,342.56,65.8,0.99,2.64,91.6
1,San José,113,Tibás,74592,36040,38552,27041,25320,1721,2.94,8.27,9019.6,1.27,2.62,93.5
1,San José,114,Moravia,59546,26869,32677,20781,19618,1163,3.03,28.82,2066.1,0.41,1.27,82.2
1,San José,115,Montes de Oca,53862,24768,29094,23707,21066,2641,2.55,15.78,3413.3,0.84,2.37,85.1
1,San José,116,Turrubares,6173,3292,2881,3109,2235,874,2.75,416.25,14.8,1.03,2.45,114.3
1,San José,117,Dota,9364,4904,4460,4038,3041,997,3.07,404.44,23.2,2.71,3.58,110.0
1,San José,118,Curridabat,71026,34467,36559,27454,24021,3433,2.95,16.06,4422.5,0.78,2.6,94.3
1,San José,119,Pérez Zeledón,156917,80643,76274,63277,54962,8315,2.83,1901.08,82.5,1.4,3.17,105.7
1,San José,120,León Cortés,13553,6529,7024,5401,4353,1048,3.11,121.9,111.2,0.96,1.73,93.0
2,Alajuela,201,Alajuela,322143,159817,162326,110560,101968,8592,3.08,391.61,822.6,2.13,3.21,98.5
2,Alajuela,202,San Ramón,93264,46321,46943,36416,31246,5170,2.98,1021.75,91.3,1.33,2.76,98.7
2,Alajuela,203,Grecia,76226,36848,39378,26746,25136,1610,3.03,142.47,535.0,1.33,2.55,93.6
2,Alajuela,204,San Mateo,6952,3691,3261,3814,2276,1538,3.05,125.03,55.6,1.14,3.98,113.2
2,Alajuela,205,Atenas,30407,14788,15619,11257,10086,1171,2.98,126.32,240.7,1.61,2.35,94.7
2,Alajuela,206,Naranjo,46647,22839,23808,16129,14594,1535,3.19,127.03,367.2,0.8,2.06,95.9
2,Alajuela,207,Palmares,39148,18824,20324,13318,12453,865,3.14,38.94,1005.3,1.09,2.36,92.6
2,Alajuela,208,Poás,36207,18182,18025,12145,10998,1147,3.29,74.48,486.1,1.96,3.14,100.9
2,Alajuela,209,Orotina,24217,12252,11965,10136,7810,2326,3.09,145.11,166.9,1.59,2.91,102.4
2,Alajuela,210,San Carlos,198742,101847,96895,72258,62809,9449,3.15,3352.14,59.3,1.76,3.26,105.1
2,Alajuela,211,Zarcero,15153,7261,7892,5017,4695,322,3.21,157.36,96.3,1.97,3.02,92.0
2,Alajuela,212,Sarchí,21562,10942,10620,7908,6966,942,3.1,136.77,157.7,1.6,3.1,103.0
2,Alajuela,213,Upala,57361,30060,27301,20497,17682,2815,3.24,1592.68,36.0,2.42,3.94,110.1
2,Alajuela,214,Los Chiles,34701,18410,16291,12043,10525,1518,3.3,1332.71,26.0,3.45,4.71,113.0
