codigo_provincia,provincia,codigo_canton,canton,distrito,poblacion,hombres,mujeres,viviendas,viviendas_ocupadas,viviendas_desocupadas,promedio_ocupantes,area_km2,densidad,tasa_crecimiento_poblacion,tasa_crecimiento_viviendas,relacion_hombre_mujer
1,San José,101,San José,Carmen,2759,1280,1479,1382,1198,184,2.29,1.49,1851.7,0.19,0.89,86.5
1,San José,101,San José,Merced,15804,7479,8325,5606,5071,535,3.12,2.2,7183.6,2.31,3.23,89.8
1,San José,101,San José,Hospital,25619,12259,13360,7970,7488,482,3.33,3.32,7716.6,2.59,3.25,91.8
1,San José,101,San José,Catedral,14355,6491,7864,5649,5019,630,2.84,2.37,6057.0,0.95,1.14,82.5
1,San José,101,San José,Zapote,19684,8760,10924,7409,6859,550,2.87,2.86,6882.5,0.48,1.42,80.2
1,San José,101,San José,San Francisco de Dos Ríos,21682,10416,11266,7705,7404,301,2.92,2.64,8212.9,0.64,1.09,92.5
1,San José,101,San José,Uruca,46829,22071,24758,14311,13992,319,3.35,8.39,5581.5,3.54,4.46,89.1
1,San José,101,San José,Mata Redonda,11491,5351,6140,4456,4122,334,2.79,3.66,3139.6,2.94,2.69,87.1
1,San José,101,San José,Pavas,83573,41152,42421,26109,25650,459,3.26,9.35,8938.3,1.43,2.55,97.0
1,San José,101,San José,Hatillo,60363,29345,31018,19706,18588,1118,3.25,4.37,13813.0,1.62,2.82,94.6
1,San José,101,San José,San Sebastián,50222,24213,26009,16569,15837,732,3.17,3.97,12650.4,2.05,3.02,93.1
1,San José,102,Escazú,Escazú,12590,5997,6593,4660,4253,407,2.95,4.53,2779.2,0.45,1.68,91.0
1,San José,102,Escazú,San Antonio,26549,12542,14007,9535,8947,588,2.96,16.96,1565.4,1.48,3.52,89.5
1,San José,102,Escazú,San Rafael,32361,15384,16977,12197,11179,1018,2.88,13.04,2481.7,3.52,3.46,90.6
1,San José,103,Desamparados,Desamparados,31783,15064,16719,11461,10618,843,2.99,3.32,9573.2,-0.58,0.91,90.1
